REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	avg	enhancerRank	isSuper
1_chr6_20400525_20429841_lociStitched	chr6	20400525	20429841	1	29317	16935.364599999997	139	1
6_chr1_43388524_43391436_lociStitched	chr1	43388524	43433496	6	34059	16869.746733333337	140	1
1_chr3_49376580_49397756_lociStitched	chr3	49376580	49397756	1	21177	16790.803333333333	141	1
5_chr12_6752486_6754453_lociStitched	chr12	6713497	6754453	5	22440	16737.352	142	1
1_chr7_92249227_92278053_lociStitched	chr7	92249227	92278053	1	28827	16664.3106	143	1
2_chr19_39888229_39889964_lociStitched	chr19	39888229	39904853	2	15026	16583.54826666667	144	1
2_chr10_127773956_127783962_lociStitched	chr10	127773956	127802030	2	24722	16561.7884	145	1
3_chr1_39649273_39650609_lociStitched	chr1	39649273	39683513	3	23035	16482.565333333332	146	1
4_chr1_8916719_8922562_lociStitched	chr1	8916719	8960845	4	18235	16445.024766666666	147	1
5_chr3_138606876_138611220_lociStitched	chr3	138580173	138635931	5	20311	16400.2864	148	1
7_chr2_54800558_54801524_lociStitched	chr2	54784641	54833617	7	19454	16399.6136	149	1
6_chr19_39153828_39162822_lociStitched	chr19	39137534	39186399	6	31853	16385.248916666667	150	1
2_chr2_106391618_106395218_lociStitched	chr2	106391618	106420188	2	23512	16344.896999999997	151	1
3_chr12_48195250_48215229_lociStitched	chr12	48195250	48228953	3	24266	16344.269849999999	152	1
4_chr15_78325510_78332856_lociStitched	chr15	78325510	78365864	4	27732	16342.024866666667	153	1
9_chr6_28902613_28902902_lociStitched	chr6	28902613	28965130	9	23265	16303.39165	154	1
2_chr1_246750087_246751536_lociStitched	chr1	246728129	246751536	2	20768	16295.563283333331	155	1
4_chr1_32392322_32393382_lociStitched	chr1	32392322	32424204	4	16141	16261.4141	156	1
2_chr4_81055957_81065509_lociStitched	chr4	81043570	81065509	2	17806	16199.39195	157	1
2_chr20_58614860_58624262_lociStitched	chr20	58614860	58635912	2	18584	16194.952733333334	158	1
3_chr3_14443312_14455164_lociStitched	chr3	14443312	14477504	3	26953	16188.2024	159	1
4_chr9_123636437_123641316_lociStitched	chr9	123630471	123661412	4	13839	16119.229633333334	160	1
1_chr15_75067230_75085995_lociStitched	chr15	75067230	75085995	1	18766	16054.083	161	1
4_chr8_37953005_37954606_lociStitched	chr8	37936281	37966456	4	17179	15928.37666666667	162	1
8_chr4_79520637_79521704_lociStitched	chr4	79520637	79590178	8	22500	15917.934899999998	163	1
5_chr10_112593275_112596302_lociStitched	chr10	112593275	112634801	5	21583	15831.787499999999	164	1
1_chr12_15098594_15118736_lociStitched	chr12	15098594	15118736	1	20143	15819.526799999998	165	1
4_chr15_93344569_93355893_lociStitched	chr15	93344569	93389035	4	18879	15739.481800000001	166	1
2_chr21_40385062_40391288_lociStitched	chr21	40351120	40391288	2	35005	15733.8056	167	1
chr1_156709897_156723317	chr1	156709897	156723317	1	13421	15684.848666666665	168	1
4_chr10_80822270_80824282_lociStitched	chr10	80822270	80856044	4	25788	15565.310800000001	169	1
4_chr3_196211376_196231789_lociStitched	chr3	196211376	196265138	4	29502	15506.752866666668	170	1
chr6_32933778_32941979	chr6	32933778	32941979	1	8202	15496.336233333335	171	1
3_chr1_234844587_234846317_lociStitched	chr1	234844587	234868743	3	13794	15483.190800000002	172	1
3_chr17_25692788_25696707_lociStitched	chr17	25658108	25696707	3	25455	15352.108933333331	173	1
2_chr12_11799332_11808865_lociStitched	chr12	11799332	11822966	2	13994	15336.4965	174	1
2_chr2_60320339_60334489_lociStitched	chr2	60320339	60342095	2	14959	15336.167000000001	175	1
chr19_13041591_13058298	chr19	13041591	13058298	1	16708	15323.938849999999	176	1
4_chr1_205660042_205665780_lociStitched	chr1	205633041	205680986	4	32154	15300.847666666668	177	1
4_chr1_145426978_145428934_lociStitched	chr1	145426978	145458054	4	14941	15215.327533333331	178	1
6_chr17_77798315_77814252_lociStitched	chr17	77776257	77827223	6	21834	15196.362333333336	179	1
3_chr3_194860653_194862721_lociStitched	chr3	194860653	194903589	3	29597	15194.334799999999	180	1
5_chr16_89065574_89066724_lociStitched	chr16	89038425	89071043	5	16937	15183.678999999998	181	1
chr19_13944401_13954347	chr19	13944401	13954347	1	9947	15175.938333333332	182	1
2_chr19_679349_682257_lociStitched	chr19	679349	704988	2	14962	15140.684133333334	183	1
8_chr6_26549998_26551315_lociStitched	chr6	26520304	26578307	8	19412	15132.982699999999	184	1
3_chr17_43223099_43229390_lociStitched	chr17	43223099	43251431	3	14290	15110.8722	185	1
5_chr15_67373073_67374649_lociStitched	chr15	67356369	67398203	5	27062	15090.918266666667	186	1
1_chr22_22289571_22307260_lociStitched	chr22	22289571	22307260	1	17690	15064.836849999998	187	1
3_chr19_1852802_1859256_lociStitched	chr19	1852802	1876800	3	16280	15055.545266666666	188	1
2_chr12_89737628_89749471_lociStitched	chr12	89726744	89749471	2	13246	15022.168216666667	189	1
4_chr5_139015506_139018587_lociStitched	chr5	139015506	139051664	4	16772	15003.159466666666	190	1
5_chr9_100681912_100687420_lociStitched	chr9	100666998	100725219	5	26846	14935.6272	191	1
5_chr6_37005331_37011205_lociStitched	chr6	36986203	37028378	5	24493	14910.268333333333	192	1
2_chr7_142411401_142413271_lociStitched	chr7	142411401	142431700	2	17458	14892.699666666667	193	1
3_chr9_80505390_80509114_lociStitched	chr9	80505390	80537728	3	13844	14860.388933333335	194	1
1_chr19_55761397_55772145_lociStitched	chr19	55761397	55772145	1	10749	14848.003733333337	195	1
4_chr20_30178588_30179299_lociStitched	chr20	30178588	30211878	4	17670	14749.689333333334	196	1
3_chr1_47674808_47681927_lociStitched	chr1	47674808	47708438	3	22403	14636.896999999999	197	1
2_chr4_10180023_10189274_lociStitched	chr4	10171778	10189274	2	14604	14621.698799999998	198	1
chr17_72731780_72748946	chr17	72731780	72748946	1	17167	14588.811200000002	199	1
6_chr6_30474850_30480160_lociStitched	chr6	30456748	30500670	6	17901	14530.861666666666	200	1
3_chr12_27149685_27150661_lociStitched	chr12	27149685	27177311	3	19689	14529.434266666665	201	1
3_chr19_47596682_47599765_lociStitched	chr19	47596682	47617716	3	13101	14502.592433333333	202	1
2_chr20_54983823_54999186_lociStitched	chr20	54983823	55004727	2	15873	14447.1028	203	1
chr17_76119917_76130572	chr17	76119917	76130572	1	10656	14431.842333333334	204	1
3_chr19_49453470_49455261_lociStitched	chr19	49453470	49479667	3	12427	14387.392400000002	205	1
4_chr19_41810158_41817584_lociStitched	chr19	41802242	41841802	4	23028	14364.895333333334	206	1
5_chr5_118637988_118646350_lociStitched	chr5	118635205	118682162	5	25782	14327.363316666668	207	1
7_chr1_246229588_246232525_lociStitched	chr1	246229588	246281713	7	27302	14304.8375	208	1
3_chr1_154971240_154980521_lociStitched	chr1	154971240	154990699	3	12473	14298.797516666667	209	1
8_chr10_98409934_98419418_lociStitched	chr10	98409934	98481557	8	26671	14267.3016	210	1
chr17_27043426_27056705	chr17	27043426	27056705	1	13280	14260.096783333334	211	1
4_chr17_38471523_38481245_lociStitched	chr17	38462642	38504017	4	28183	14237.137500000003	212	1
1_chr7_104649516_104657391_lociStitched	chr7	104649516	104657391	1	7876	14232.881250000004	213	1
4_chr2_233923382_233929450_lociStitched	chr2	233923382	233957399	4	23025	14218.539050000001	214	1
4_chr6_2986617_2993199_lociStitched	chr6	2980946	3003111	4	13842	14206.656750000002	215	1
4_chr9_130823646_130824262_lociStitched	chr9	130823646	130861794	4	23614	14193.599200000002	216	1
1_chr7_92456690_92469957_lociStitched	chr7	92456690	92469957	1	13268	14178.4429	217	1
2_chr17_58463415_58477403_lociStitched	chr17	58447123	58477403	2	18075	14173.05866666667	218	1
3_chr14_81866259_81869221_lociStitched	chr14	81866259	81903437	3	24241	14158.621666666668	219	1
9_chrX_11403873_11405665_lociStitched	chrX	11358959	11456740	9	40033	14137.50291666667	220	1
3_chr6_21586891_21589664_lociStitched	chr6	21586891	21611209	3	17540	14137.2693	221	1
3_chr5_413862_417075_lociStitched	chr5	368107	417075	3	29321	14066.057999999999	222	1
2_chr1_156458517_156464204_lociStitched	chr1	156458517	156476833	2	14530	13985.1818	223	1
4_chr1_160823348_160835687_lociStitched	chr1	160805071	160847059	4	25185	13965.9086	224	1
4_chr8_134082512_134091089_lociStitched	chr8	134066732	134107883	4	27883	13937.843700000003	225	1
2_chr2_201979156_201986263_lociStitched	chr2	201979156	201996965	2	15527	13903.189483333334	226	1
7_chr14_69273172_69274590_lociStitched	chr14	69216181	69283836	7	17096	13881.678416666668	227	1
2_chr3_31259770_31277050_lociStitched	chr3	31252388	31277050	2	23078	13878.129466666667	228	1
5_chr1_246304084_246306719_lociStitched	chr1	246304084	246352127	5	26110	13867.611949999997	229	1
4_chr9_135850698_135862103_lociStitched	chr9	135850698	135882103	4	22883	13844.370833333334	230	1
10_chr9_250015_252426_lociStitched	chr9	208713	280065	10	29747	13811.368799999998	231	1
3_chr1_159877939_159884758_lociStitched	chr1	159877939	159908415	3	17944	13775.151999999996	232	1
6_chr1_22106245_22112246_lociStitched	chr1	22075733	22121421	6	21446	13759.702666666666	233	1
1_chr3_18019681_18031520_lociStitched	chr3	18019681	18031520	1	11840	13734.029266666666	234	1
4_chr8_134550064_134552933_lociStitched	chr8	134496824	134552933	4	30563	13718.650500000002	235	1
5_chr12_31867032_31872264_lociStitched	chr12	31867032	31904194	5	22239	13715.874833333333	236	1
7_chrX_12980185_12980610_lociStitched	chrX	12965113	12998118	7	18641	13695.42475	237	1
1_chr6_30648884_30659652_lociStitched	chr6	30648884	30659652	1	10769	13667.822400000003	238	1
4_chr1_6639503_6643192_lociStitched	chr1	6639503	6670978	4	12025	13637.592916666668	239	1
5_chr15_57610993_57617718_lociStitched	chr15	57597990	57628404	5	17764	13636.1169	240	1
4_chr1_204472526_204473832_lociStitched	chr1	204462552	204490278	4	15387	13609.7692	241	1
4_chr3_50264342_50268423_lociStitched	chr3	50257664	50298679	4	20989	13528.114166666666	242	1
8_chr3_45680973_45682532_lociStitched	chr3	45670959	45737798	8	23554	13498.13605	243	1
2_chr3_58333155_58343487_lociStitched	chr3	58317765	58343487	2	15456	13489.902900000001	244	1
5_chr10_71108473_71108758_lociStitched	chr10	71068236	71108758	5	16223	13485.046233333333	245	1
chr12_54799785_54815880	chr12	54799785	54815880	1	16096	13466.954749999999	246	1
3_chr6_147515101_147517881_lociStitched	chr6	147515101	147544518	3	15885	13457.787216666666	247	1
5_chr15_66123590_66132418_lociStitched	chr15	66082037	66132418	5	20528	13428.215866666667	248	1
4_chr1_19793606_19798005_lociStitched	chr1	19780546	19814322	4	21482	13400.065066666668	249	1
1_chr1_226183300_226192481_lociStitched	chr1	226183300	226192481	1	9182	13385.898000000001	250	1
2_chr17_79365487_79376646_lociStitched	chr17	79360477	79376646	2	12364	13385.237166666668	251	1
4_chr16_29655628_29662335_lociStitched	chr16	29651590	29679347	4	17186	13348.3413	252	1
1_chr1_150120342_150138949_lociStitched	chr1	150120342	150138949	1	18608	13342.769583333333	253	1
5_chr1_201520898_201527301_lociStitched	chr1	201503702	201551915	5	23989	13338.929999999998	254	1
5_chr5_138875082_138875602_lociStitched	chr5	138837240	138884284	5	20510	13315.804199999999	255	1
chr6_27796635_27808314	chr6	27796635	27808314	1	11680	13314.06	256	1
3_chr1_28184773_28186091_lociStitched	chr1	28184773	28214629	3	17948	13290.3984	257	1
6_chr10_74014160_74015600_lociStitched	chr10	74003684	74037753	6	13691	13265.332966666669	258	1
3_chr6_45386704_45396919_lociStitched	chr6	45386704	45415175	3	20424	13259.89373333333	259	1
9_chr2_109252261_109255318_lociStitched	chr2	109228559	109296790	9	29906	13251.597383333334	260	1
5_chr7_138808838_138809733_lociStitched	chr7	138775568	138809733	5	16818	13207.619583333331	261	1
chr12_122235492_122244922	chr12	122235492	122244922	1	9431	13168.209166666667	262	1
1_chr17_43297258_43308789_lociStitched	chr17	43297258	43308789	1	11532	13166.672349999999	263	1
3_chr8_27213418_27216033_lociStitched	chr8	27213418	27239639	3	22549	13157.6978	264	1
3_chr2_8653708_8657658_lociStitched	chr2	8653708	8686965	3	17895	13125.983616666666	265	1
4_chr1_160959857_160960547_lociStitched	chr1	160959857	160991982	4	12694	13125.204166666668	266	1
5_chr19_8590149_8591267_lociStitched	chr19	8551095	8591267	5	21459	13065.273466666666	267	1
4_chr2_127401388_127403380_lociStitched	chr2	127401388	127432557	4	14356	13040.070633333335	268	1
5_chr6_14896201_14900069_lociStitched	chr6	14896201	14934244	5	18816	13036.068	269	1
4_chr19_14490940_14497061_lociStitched	chr19	14465809	14497061	4	19953	12966.975666666665	270	1
2_chr3_112107295_112117118_lociStitched	chr3	112094239	112117118	2	16303	12960.953500000001	271	1
2_chr6_43593097_43600216_lociStitched	chr6	43593097	43608545	2	10172	12947.741199999999	272	1
5_chr5_131808860_131809068_lociStitched	chr5	131789376	131833345	5	25140	12924.687550000002	273	1
4_chr18_805196_806703_lociStitched	chr18	805196	842533	4	15185	12903.667200000002	274	1
3_chr1_26436807_26440870_lociStitched	chr1	26436807	26466102	3	14670	12888.335249999998	275	1
2_chr5_43074171_43076676_lociStitched	chr5	43063248	43076676	2	8454	12859.9956	276	1
1_chr21_39747363_39762839_lociStitched	chr21	39747363	39762839	1	15477	12858.750466666665	277	1
2_chr10_104401288_104407248_lociStitched	chr10	104388972	104407248	2	13077	12854.12	278	1
4_chr3_4533535_4538870_lociStitched	chr3	4533535	4577090	4	24190	12853.806416666668	279	1
1_chr3_71625234_71635819_lociStitched	chr3	71625234	71635819	1	10586	12802.028250000001	280	1
3_chr11_33909351_33920019_lociStitched	chr11	33909351	33936054	3	16709	12780.500850000002	281	1
2_chr1_235026125_235031747_lociStitched	chr1	235001338	235031747	2	25000	12733.261933333333	282	1
5_chr2_178126042_178131025_lociStitched	chr2	178104909	178131025	5	13034	12709.786666666667	283	1
3_chr2_145269567_145277949_lociStitched	chr2	145265011	145282592	3	13559	12702.565516666667	284	1
3_chr7_12786880_12788200_lociStitched	chr7	12751963	12788200	3	23984	12685.969750000002	285	1
5_chr5_169694826_169697757_lociStitched	chr5	169694826	169735247	5	21689	12613.373050000002	286	1
6_chr3_195834840_195835885_lociStitched	chr3	195825205	195873570	6	20892	12607.949416666665	287	1
6_chr14_35804949_35806524_lociStitched	chr14	35804949	35838532	6	16600	12603.6999	288	1
5_chr2_64887946_64889329_lociStitched	chr2	64862117	64895932	5	18958	12558.327416666665	289	1
2_chr11_61729976_61741849_lociStitched	chr11	61721735	61741849	2	13781	12543.425633333332	290	1
